DataMedicao,valorMedida,latitude,longitude
2018-01-31,180.0,-18.747711,-44.453785
2018-02-28,310.2,-18.747711,-44.453785
2018-03-31,197.6,-18.747711,-44.453785
2018-04-30,48.6,-18.747711,-44.453785
2018-05-31,18.8,-18.747711,-44.453785
2018-06-30,0.4,-18.747711,-44.453785
2018-07-31,0.0,-18.747711,-44.453785
2018-08-31,1.6,-18.747711,-44.453785
2018-09-30,23.2,-18.747711,-44.453785
2018-10-31,84.8,-18.747711,-44.453785
2018-11-30,216.4,-18.747711,-44.453785
2018-12-31,309.6,-18.747711,-44.453785
2019-01-31,10.6,-18.747711,-44.453785
2019-02-28,,-18.747711,-44.453785
2019-03-31,135.2,-18.747711,-44.453785
2019-04-30,19.6,-18.747711,-44.453785
2019-05-31,12.2,-18.747711,-44.453785
2019-06-30,0.4,-18.747711,-44.453785
2019-07-31,1.4,-18.747711,-44.453785
2019-08-31,0.2,-18.747711,-44.453785
2019-09-30,14.4,-18.747711,-44.453785
2019-10-31,14.6,-18.747711,-44.453785
2019-11-30,95.6,-18.747711,-44.453785
2019-12-31,370.4,-18.747711,-44.453785
2020-01-31,312.8,-18.747711,-44.453785
2020-02-29,180.6,-18.747711,-44.453785
2020-03-31,207.6,-18.747711,-44.453785
2020-04-30,59.0,-18.747711,-44.453785
2020-05-31,57.4,-18.747711,-44.453785
2020-06-30,0.2,-18.747711,-44.453785
2020-07-31,0.0,-18.747711,-44.453785
2020-08-31,7.8,-18.747711,-44.453785
2020-09-30,0.4,-18.747711,-44.453785
2020-10-31,165.8,-18.747711,-44.453785
2020-11-30,132.6,-18.747711,-44.453785
2020-12-31,119.0,-18.747711,-44.453785
2021-01-31,49.8,-18.747711,-44.453785
2021-02-28,221.0,-18.747711,-44.453785
2021-03-31,41.8,-18.747711,-44.453785
2021-04-30,,-18.747711,-44.453785
2021-05-31,,-18.747711,-44.453785
2021-06-30,,-18.747711,-44.453785
2021-07-31,,-18.747711,-44.453785
2021-08-31,,-18.747711,-44.453785
2021-09-30,,-18.747711,-44.453785
2021-10-31,,-18.747711,-44.453785
2021-11-30,,-18.747711,-44.453785
2021-12-31,356.0,-18.747711,-44.453785
2022-01-31,189.2,-18.747711,-44.453785
2022-02-28,279.0,-18.747711,-44.453785
2022-03-31,0.0,-18.747711,-44.453785
2022-04-30,17.8,-18.747711,-44.453785
2022-05-31,14.4,-18.747711,-44.453785
2022-06-30,0.0,-18.747711,-44.453785
2022-07-31,0.0,-18.747711,-44.453785
2022-08-31,0.2,-18.747711,-44.453785
2022-09-30,12.6,-18.747711,-44.453785
2022-10-31,41.4,-18.747711,-44.453785
2022-11-30,152.4,-18.747711,-44.453785
2022-12-31,416.0,-18.747711,-44.453785
